actor_episodes,actor_steps,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,policy_loss
27412,77228,0.251725,4543,11756,31553,2122.6281435489655,0.4309311
27440,77316,0.36235458,4546,11762,31574,2123.788942337036,0.4302901
27455,77361,0.33827075,4547,11764,31595,2124.8909211158752,0.40778443
27477,77419,0.35091078,4547,11764,31618,2126.1610758304596,0.44348413
27491,77460,0.3814098,4547,11764,31638,2127.3665680885315,0.40328622
27505,77504,0.38445407,4549,11768,31659,2128.6296768188477,0.41261378
27523,77555,0.34153894,4550,11770,31680,2129.7467012405396,0.4087408
27533,77583,0.4514261,4551,11772,31701,2130.871194601059,0.4209593
27553,77642,0.36205348,4552,11774,31720,2132.0188858509064,0.44676957
27571,77698,0.39012155,4553,11776,31745,2133.1317653656006,0.43148574
27601,77782,0.38336226,4555,11780,31770,2134.4870574474335,0.43313402
27614,77823,0.3899048,4556,11782,31793,2135.6448018550873,0.41942042
27633,77876,0.39936262,4557,11784,31812,2136.7767696380615,0.35085815
27645,77908,0.4212533,4558,11786,31830,2137.9305996894836,0.43309003
27663,77953,0.33884606,4558,11786,31847,2139.1264758110046,0.4430869
27677,77997,0.35373658,4560,11790,31865,2140.2442214488983,0.43607914
27691,78032,0.41305822,4561,11792,31885,2141.5092601776123,0.44209427
27706,78074,0.3397575,4562,11794,31901,2142.623390674591,0.43072844
27722,78119,0.45581248,4562,11794,31919,2143.808671236038,0.44346783
27742,78178,0.34236187,4564,11798,31942,2144.9971668720245,0.43801194
27757,78219,0.36463368,4565,11800,31968,2146.0980491638184,0.45719212
27770,78259,0.24537453,4566,11802,31984,2147.199506521225,0.4211141
27809,78374,0.4012788,4568,11806,32010,2148.375646352768,0.4531861
27822,78412,0.3309835,4569,11808,32031,2149.501504421234,0.45198274
27835,78447,0.34376323,4570,11810,32050,2150.6229643821716,0.42001468
27851,78498,0.3698592,4572,11814,32067,2151.7649681568146,0.35583913
27868,78543,0.33535895,4572,11814,32084,2152.948527097702,0.32909083
27886,78596,0.39671633,4574,11818,32109,2154.0541064739227,0.32165283
27903,78642,0.30114472,4574,11818,32126,2155.1560068130493,0.33184618
27918,78682,0.35123998,4576,11822,32147,2156.335897922516,0.44238812
27940,78738,0.40933156,4577,11824,32165,2157.551705598831,0.4546699
27954,78773,0.39572453,4577,11824,32189,2158.6575536727905,0.41379988
27972,78825,0.40676117,4578,11826,32212,2159.7779579162598,0.44094878
27992,78885,0.27542168,4580,11830,32232,2160.9005029201508,0.43576863
28006,78925,0.35485426,4581,11832,32255,2162.1599102020264,0.45799285
28024,78985,0.29889247,4582,11834,32278,2163.310710668564,0.42963994
28042,79035,0.38937348,4582,11834,32299,2164.4127492904663,0.4300666
28051,79064,0.36104977,4583,11836,32320,2165.569490671158,0.44569853
28091,79174,0.33772475,4585,11840,32343,2166.745662689209,0.44202417
28108,79222,0.3039022,4586,11842,32364,2167.8639018535614,0.43114117
28133,79286,0.38289142,4587,11844,32387,2169.117591381073,0.42097414
28151,79341,0.45205233,4588,11846,32408,2170.218908071518,0.43806216
28169,79389,0.27797017,4589,11848,32432,2171.3301010131836,0.4237004
28186,79437,0.3862015,4590,11850,32453,2172.430522918701,0.43187827
28206,79488,0.3956691,4591,11852,32474,2173.760915994644,0.43982738
28220,79529,0.29480484,4592,11854,32504,2175.138057947159,0.39194793
28238,79583,0.44370657,4593,11856,32522,2176.2440729141235,0.43228018
28250,79619,0.3454334,4594,11858,32544,2177.347388982773,0.43652317
28282,79709,0.331823,4595,11860,32563,2178.542929649353,0.42550185
28302,79759,0.29200202,4597,11864,32585,2179.7482013702393,0.41728354
28324,79820,0.3740278,4598,11866,32608,2180.995389699936,0.4290017
28340,79867,0.34919408,4598,11866,32630,2182.1491298675537,0.34739316
28354,79906,0.48518026,4600,11870,32648,2183.345166683197,0.34879255
28368,79943,0.3614389,4601,11872,32664,2184.4742131233215,0.44657183
28384,79986,0.45451206,4601,11872,32689,2185.6551814079285,0.41917878
28407,80050,0.26152882,4602,11874,32711,2186.794720888138,0.43666726
28418,80083,0.35916278,4603,11876,32729,2187.8963720798492,0.43021333
28433,80128,0.44457003,4604,11878,32749,2189.016781806946,0.43027103
